good	好的	/ɡʊd/
mining	采矿	/ˈmaɪnɪŋ/
mock	嘲笑	/mɑːk/
morally	道德上	/ˈmɔːrəli/
motorcycle	摩托车	/ˈmoʊtərsaɪkl/
needn’t	不必	/ˈnidnt/
negotiated	谈判	/nɪˈɡoʊʃieɪtɪd/
oliver	奥利弗	/ˈɑːlɪvər/
overlooked	忽视	/ˌoʊvərˈlʊkt/
posture	姿势	/ˈpɑːstʃər/
differs	不同	/ˈdɪfərz/
diligent	勤奋的	/ˈdɪlɪdʒənt/
disarm	解除武装	/dɪsˈɑːrm/
discovers	发现	/dɪˈskʌvərz/
diverge	分歧	/daɪˈvɜːrdʒ/
embracing	拥抱	/ɪmˈbreɪsɪŋ/
endlessly	无尽地	/ˈɛndləsli/
envy	羡慕	/ˈɛnvi/
exclusion	排除	/ɪkˈskluːʒən/
exhibited	展示	/ɪɡˈzɪbɪtɪd/
flatly	断然地	/ˈflætli/
graduates	毕业生	/ˈɡrædʒuəts/
gravely	严重地	/ˈɡreɪvli/
grudge	怨恨	/ɡrʌdʒ/
gut	内脏	/ɡʌt/
hardcover	精装书	/ˈhɑːrdkʌvər/
initiated	发起	/ɪˈnɪʃieɪtɪd/
insatiable	贪得无厌的	/ɪnˈseɪʃiəbl/
deprived	剥夺	/dɪˈpraɪvd/
disgusted	厌恶	/dɪsˈɡʌstɪd/
drunken	醉的	/ˈdrʌŋkən/
dwell	居住	/dwɛl/
ensured	确保	/ɪnˈʃʊrd/
evade	逃避	/ɪˈveɪd/
fictional	虚构的	/ˈfɪkʃənl/
fills	填充	/fɪlz/
friendships	友谊	/ˈfrɛndʃɪps/
grind	磨碎	/ɡraɪnd/
hating	憎恨	/ˈheɪtɪŋ/
hopeful	有希望的	/ˈhoʊpfəl/
incorporating	合并	/ɪnˈkɔːrpəreɪtɪŋ/
inflicted	造成	/ɪnˈflɪktɪd/
prestigious	有声望的	/prɛˈstɪdʒəs/
prompting	促使	/ˈprɑːmptɪŋ/
rejecting	拒绝	/rɪˈdʒɛktɪŋ/
repairs	修理	/rɪˈpɛrz/
requesting	请求	/rɪˈkwɛstɪŋ/
retains	保留	/rɪˈteɪnz/
routines	例行公事	/ruːˈtiːnz/
salvation	拯救	/sælˈveɪʃən/
sauce	酱汁	/sɔːs/
sermon	布道	/ˈsɜːrmən/
sleeves	袖子	/sliːvz/
softer	更软的	/ˈsɔːftər/
speculate	推测	/ˈspɛkjəˌleɪt/
speculative	投机的	/ˈspɛkjəˌleɪtɪv/
superseded	取代	/ˌsupərˈsidɪd/
tighter	更紧的	/ˈtaɪtər/
tops	顶部	/tɑːps/
tossed	扔	/tɔːst/
undergone	经历	/ˌʌndərˈɡoʊn/
undermining	破坏	/ˌʌndərˈmaɪnɪŋ/
unhappiness	不快乐	/ʌnˈhæpinəs/
vintage	年份	/ˈvɪntɪdʒ/
weakening	削弱	/ˈwikənɪŋ/
withstand	经受	/wɪθˈstænd/
witnessing	目睹	/ˈwɪtnəsɪŋ/
years’	年份的	/jɪrz/
abide	遵守	/əˈbaɪd/
amends	赔偿	/əˈmɛndz/
awkwardness	尴尬	/ˈɔːkwərdnəs/
banner	横幅	/ˈbænər/
brands	品牌	/brændz/
breakdown	故障	/ˈbreɪkdaʊn/
burying	埋葬	/ˈbɛriɪŋ/
captivated	迷住	/ˈkæptɪˌveɪtɪd/
chatting	聊天	/ˈtʃætɪŋ/
classics	经典	/ˈklæsɪks/
conceivably	可以想象地	/kənˈsiːvəbli/
cooked	煮	/kʊkt/
critic	评论家	/ˈkrɪtɪk/
deficiency	缺陷	/dɪˈfɪʃənsi/
demonstrates	证明	/ˈdɛmənˌstreɪts/
issuing	发布	/ˈɪʃuːɪŋ/
marvel	奇迹	/ˈmɑːrvəl/
momentum	动力	/moʊˈmɛntəm/
motto	座右铭	/ˈmɑːtoʊ/
mouthful	一口	/ˈmaʊθfʊl/
overflowing	溢出	/ˌoʊvərˈfloʊɪŋ/
pang	剧痛	/pæŋ/
patches	补丁	/ˈpætʃɪz/
peaks	山峰	/piːks/
pictured	描绘	/ˈpɪktʃərd/
plots	情节	/plɒts/
precedes	在...之前	/prɪˈsiːdz/
interfering	干涉	/ˌɪntərˈfɪərɪŋ/
inventive	有创造力的	/ɪnˈvɛntɪv/
lengths	长度	/lɛŋθs/
loosened	松开	/ˈluːsənd/
missions	任务	/ˈmɪʃənz/
narrowed	变窄	/ˈnærəʊd/
nuanced	微妙的	/ˈnjuːɑːnst/
obeying	服从	/oʊˈbeɪɪŋ/
packages	包裹	/ˈpækɪdʒɪz/
paralysis	瘫痪	/pəˈræləsɪs/
parental	父母的	/pəˈrɛntəl/
peeling	剥皮	/ˈpiːlɪŋ/
uniformity	一致性	/juːnɪˈfɔːrmɪti/
unsuccessful	不成功的	/ˌʌnsəkˈsɛsfʊl/
vantage	优势	/ˈvæntɪdʒ/
disciples	门徒	/dɪˈsaɪpəlz/
expands	扩大	/ɪkˈspændz/
fashionable	时尚的	/ˈfæʃənəbl/
highlight	突出	/ˈhaɪˌlaɪt/
housing	住房	/ˈhaʊzɪŋ/
impending	即将发生的	/ɪmˈpɛndɪŋ/
individualism	个人主义	/ˌɪndɪˈvɪdʒʊəlɪzəm/
inherit	继承	/ɪnˈhɛrɪt/
installing	安装	/ɪnˈstɔːlɪŋ/
prodded	刺激	/prɒdɪd/
recreation	娱乐	/ˌrɛkrɪˈeɪʃən/
regulated	调节	/ˈrɛɡjʊˌleɪtɪd/
relieve	减轻	/rɪˈliːv/
reservations	预订	/ˌrɛzərˈveɪʃənz/
safest	最安全的	/ˈseɪfɪst/
seduced	诱惑	/sɪˈdjuːst/
sketched	草图	/skɛtʃt/
substances	物质	/ˈsʌbstənsɪz/
successors	继任者	/səkˈsɛsərz/
sunrise	日出	/ˈsʌnraɪz/
symbolic	象征性的	/sɪmˈbɒlɪk/
trampled	践踏	/ˈtræmpəld/
asserting	断言	/əˈsɜːrtɪŋ/
bestselling	畅销的	/ˈbɛstsɛlɪŋ/
calming	使平静	/ˈkɑːmɪŋ/
carelessness	粗心	/ˈkɛəlɪsnəs/
contemplated	沉思	/ˈkɒntəmˌpleɪtɪd/
counterpart	对应物	/ˈkaʊntərˌpɑːrt/
creep	爬行	/kriːp/
demoralized	士气低落	/dɪˈmɔːrəˌlaɪzd/
denies	否认	/dɪˈnaɪz/
deposited	存款	/dɪˈpɑːzɪtɪd/
advancement	进步	/ədˈvænsmənt/
brandnew	全新的	/ˈbrændnjuː/
brass	黄铜	/bræs/
conciliatory	调和的	/kənˈsɪliəˌtɔːri/
contagious	传染的	/kənˈteɪdʒəs/
crawling	爬行	/ˈkrɔːlɪŋ/
critically	批评地	/ˈkrɪtɪkəli/
detour	绕道	/ˈdiːtʊr/
doorstep	门口	/ˈdɔːrˌstɛp/
doubly	加倍地	/ˈdʌbli/
eccentric	古怪的	/ɪkˈsɛntrɪk/
eloquent	雄辩的	/ˈɛləkwənt/
eminent	杰出的	/ˈɛmɪnənt/
entrusted	委托	/ɪnˈtrʌstɪd/
foresaw	预见	/fɔrˈsɔː/
hates	讨厌	/heɪts/
illustrating	说明	/ˈɪləˌstreɪtɪŋ/
inadequacy	不足	/ɪnˈædɪkwəsi/
johannes	约翰内斯	/joʊˈhɑːnɪs/
laboriously	辛苦地	/ləˈbɔːriəsli/
overlooking	俯瞰	/ˌoʊvərˈlʊkɪŋ/
perceptible	可察觉的	/pərˈsɛptəbəl/
performances	表演	/pərˈfɔːrmənsɪz/
persevered	坚持	/pərˈsɪvɪrd/
persuading	说服	/pərˈsweɪdɪŋ/
polishing	抛光	/ˈpɑːlɪʃɪŋ/
trenches	战壕	/trɛntʃɪz/
trepidation	恐惧	/ˌtrɛpɪˈdeɪʃən/
tyrannical	暴虐的	/tɪˈrænɪkəl/
usefulness	有用	/ˈjusfəlnəs/
visualized	可视化	/ˈvɪʒuəˌlaɪzd/
watered	浇水	/ˈwɔːtərd/
preoccupied	全神贯注	/priˈɑːkjəˌpaɪd/
punch	拳击	/pʌntʃ/
retire	退休	/rɪˈtaɪər/
spur	刺激	/spɜːr/
stretches	伸展	/strɛtʃɪz/
thrill	激动	/θrɪl/
qualify	符合条件	/ˈkwɑːlɪˌfaɪ/
revered	崇敬	/rɪˈvɪrd/
rises	上升	/ˈraɪzɪz/
sleepless	不眠	/ˈsliːpləs/
speechless	无言	/ˈspiːtʃləs/
transforms	转变	/trænsˈfɔrmz/
paving	铺设	/ˈpeɪvɪŋ/
pill	药丸	/pɪl/
cataloginginpublication	出版物编目	/ˈkætəˌlɔːɡɪŋɪnˌpʌblɪˈkeɪʃən/
collaborated	合作	/kəˈlæbəˌreɪtɪd/
dash	破折号	/dæʃ/
downhill	下坡	/ˈdaʊnˌhɪl/
geared	齿轮	/ɡɪrd/
handy	方便的	/ˈhændi/
haul	运送	/hɔːl/
transaction	交易	/trænˈzækʃən/
replication	复制	/ˌrɛplɪˈkeɪʃən/
winston	温斯顿	/ˈwɪnstən/
colonel	上校	/ˈkɜːrnəl/
silicon	硅	/ˈsɪlɪkən/
firms	公司	/fɜːrmz/
aunt	阿姨	/ænt/
islands	岛屿	/ˈaɪləndz/
consensus	共识	/kənˈsɛnsəs/
soviet	苏维埃	/ˈsoʊviət/
hardware	硬件	/ˈhɑːrdwɛr/
gandhi	甘地	/ˈɡɑːndi/
homo	同性恋	/ˈhoʊmoʊ/
cloak	披风	/kləʊk/
ibm	国际商业机器公司	/ˌaɪˌbiːˈɛm/
clocks	时钟	/klɑːks/
populations	人口	/ˌpɑːpjəˈleɪʃənz/
chang	常	/tʃɑːŋ/
winwin	双赢	/ˈwɪnˌwɪn/
lydia	利迪亚	/ˈlɪdiə/
wheat	小麦	/wiːt/
indians	印度人	/ˈɪndiənz/
graph	图表	/ɡræf/
subjective	主观的	/səbˈdʒɛktɪv/
agricultural	农业的	/ˌæɡrɪˈkʌltʃərəl/
circuit	电路	/ˈsɜːrkɪt/
conquest	征服	/ˈkɑːŋkwɛst/
mike	麦克	/maɪk/
eg	例如	/ɛɡ/
implementation	实施	/ˌɪmplɪmɛnˈteɪʃən/
gods	神	/ɡɑːdz/
engines	引擎	/ˈɛndʒɪnz/
processors	处理器	/ˈprɑːsɛsərz/
statistical	统计的	/stəˈtɪstɪkəl/
behaviour	行为	/bɪˈheɪvjər/
evolutionary	进化的	/ˌiːvəˈluːʃəˌnɛri/
scholars	学者	/ˈskɑːlərz/
preferences	偏好	/ˈprɛfərənsɪz/
porch	门廊	/pɔːrtʃ/
gordon	戈登	/ˈɡɔːrdən/
materialized	实现	/məˈtɪriəˌlaɪzd/
cattle	牛	/ˈkætl/
expansion	扩张	/ɪkˈspænʃən/
frequency	频率	/ˈfrikwənsi/
lily	百合	/ˈlɪli/
psychologists	心理学家	/saɪˈkɑːlədʒɪsts/
fallacy	谬论	/ˈfæləsi/
strait	海峡	/streɪt/
bugs	错误	/bʌɡz/
jay	松鸦	/dʒeɪ/
follower	追随者	/ˈfɑːloʊər/
hollow	空心的	/ˈhɑːloʊ/
uniqueness	独特性	/juːˈniːknəs/
eater	食客	/ˈiːtər/
hawaii	夏威夷	/həˈwaɪi/
missiles	导弹	/ˈmɪsaɪlz/
centralized	集中的	/ˈsɛntrəlaɪzd/
phones	电话	/foʊnz/
guys	伙计们	/ɡaɪz/
genes	基因	/dʒinz/
li	李	/li/
myths	神话	/mɪθs/
alan	艾伦	/ˈælən/
assessment	评估	/əˈsɛsmənt/
country’s	国家的	/ˈkʌntriz/
honour	荣誉	/ˈɑːnər/
offset	抵消	/ˈɔːfsɛt/
lands	土地	/lændz/
evolve	演化	/ɪˈvɑːlv/
pauses	暂停	/pɔːzɪz/
symposium	研讨会	/sɪmˈpoʊziəm/
coherence	连贯性	/koʊˈhɪrəns/
compatibility	兼容性	/kəmˌpætəˈbɪləti/
roosevelt	罗斯福	/ˈruːzəvɛlt/
vernon	弗农	/ˈvɜːrnən/
psychologist	心理学家	/saɪˈkɑːlədʒɪst/
java	爪哇	/ˈdʒɑːvə/
epidemic	流行病	/ˌɛpɪˈdɛmɪk/
cooperate	合作	/koʊˈɑːpəreɪt/
chiefs	酋长	/tʃiːfs/
zealand	新西兰	/ˈziːlənd/
zen	禅	/zɛn/
largescale	大规模的	/ˈlɑːrdʒskeɪl/
operator	操作员	/ˈɑːpəreɪtər/
trump	小鬼	/trʌmp/
forecasts	预测	/ˈfɔːrkæsts/
hypothesis	假设	/haɪˈpɑːθəsɪs/
artists	艺术家	/ˈɑːrtɪsts/
sister’s	姐妹的	/ˈsɪstərz/
garage	车库	/ɡəˈrɑːʒ/
caroline	卡罗琳	/ˈkærəlaɪn/
labs	实验室	/læbz/
malcolm	马尔科姆	/ˈmælkəm/
allies	盟友	/ˈælaɪz/
highlevel	高水平的	/ˈhaɪˌlɛvl/
hong	洪	/hɔːŋ/
recounted	叙述	/rɪˈkaʊntɪd/
tablet	平板电脑	/ˈtæblət/
upward	向上的	/ˈʌpwərd/
warehouses	仓库	/ˈwerˌhaʊsɪz/
witch	女巫	/wɪtʃ/
echoed	回响	/ˈɛkoʊd/
history’s	历史的	/ˈhɪstəriz/
christianity	基督教	/ˌkrɪstiˈænəti/
colour	颜色	/ˈkʌlər/
compatible	兼容的	/kəmˈpætəbl/
labour	劳动	/ˈleɪbər/
reckon	估计	/ˈrɛkən/
swamp	沼泽	/swɑmp/
export	出口	/ˈɛkˌspɔrt/
flung	扔	/flʌŋ/
infrastructure	基础设施	/ˈɪnfrəˌstrʌkʧər/
plains	平原	/pleɪnz/
rome	罗马	/roʊm/
segment	段	/ˈsɛgmənt/
sequential	连续的	/sɪˈkwɛnʃəl/
shadows	阴影	/ˈʃædoʊz/
staircase	楼梯	/ˈstɛrˌkeɪs/
gin	杜松子酒	/dʒɪn/
kong	孔	/kɔŋ/
obama	奥巴马	/oʊˈbɑmə/
halo	光环	/ˈheɪloʊ/
vary	变化	/ˈvɛri/
virus	病毒	/ˈvaɪrəs/
armies	军队	/ˈɑrmiz/
clutching	抓住	/ˈklʌʧɪŋ/
assessments	评估	/əˈsɛsmənts/
incorrect	不正确	/ˌɪnkəˈrɛkt/
rulers	统治者	/ˈruːlərz/
latin	拉丁语	/ˈlætɪn/
maturity	成熟	/məˈtʊrəti/
county	县	/ˈkaʊnti/
prophet	先知	/ˈprɑfət/
renewal	更新	/rɪˈnjuəl/
replicate	复制	/ˈrɛplɪˌkeɪt/
roared	咆哮	/roʊrd/
sam	山姆	/sæm/
lottery	彩票	/ˈlɑtəri/
phil	菲尔	/fɪl/
approximately	大约	/əˈprɑksəmətli/
agreements	协议	/əˈgriːmənts/
courtroom	法庭	/ˈkɔrtˌrum/
devised	设计	/dɪˈvaɪzd/
hightech	高科技	/ˈhaɪˌtɛk/
mortality	死亡率	/mɔrˈtæləti/
males	男性	/meɪlz/
brother’s	兄弟的	/ˈbrʌðərz/
sin	罪恶	/sɪn/
smallpox	天花	/smɔːlˌpɑːks/
swung	摇摆	/swʌŋ/
waved	挥手	/weɪvd/
egyptian	埃及的	/ɪˈdʒɪpʃən/
digits	数字	/ˈdɪdʒɪts/
embraced	拥抱	/ɪmˈbreɪst/
favourite	最喜欢的	/ˈfeɪvərɪt/
gazing	凝视	/ˈɡeɪzɪŋ/
hitler	希特勒	/ˈhɪtlər/
skeletons	骨骼	/ˈskɛlətnz/
ma	妈妈	/mɑː/
biased	有偏见的	/ˈbaɪəst/
conversely	相反地	/kənˈvɜːrsli/
trunk	树干	/trʌŋk/
weighted	加权的	/ˈweɪtɪd/
waving	挥手	/ˈweɪvɪŋ/
lease	租约	/liːs/
fragmented	分裂的	/ˈfræɡməntɪd/
hunters	猎人	/ˈhʌntərz/
rebel	反叛者	/ˈrɛbəl/
revolutions	革命	/ˌrɛvəˈluːʃənz/
signature	签名	/ˈsɪɡnətʃər/
stereotypes	刻板印象	/ˈstɛriətaɪps/
crew	船员	/kruː/
baker	面包师傅	/ˈbeɪkər/
burrow	挖洞	/ˈbɜːroʊ/
concentrated	浓缩的	/ˈkɒnsəntreɪtɪd/
durable	耐用的	/ˈdʊrəbl/
variants	变体	/ˈvɛriənts/
visionary	有远见的	/ˈvɪʒəˌnɛri/
intrinsic	固有的	/ɪnˈtrɪnsɪk/
priests	牧师	/prists/
retrieval	检索	/rɪˈtriːvəl/
shipping	航运	/ˈʃɪpɪŋ/
specify	具体说明	/ˈspɛsɪˌfaɪ/
scan	扫描	/skæn/
stimulus	刺激	/ˈstɪmjələs/
tradeoffs	权衡	/ˈtreɪdˌɔfs/
typed	打字	/taɪpt/
bug	错误	/bʌɡ/
deserted	被遗弃的	/dɪˈzɜːrtɪd/
dining	用餐	/ˈdaɪnɪŋ/
domains	领域	/ˈdoʊmeɪnz/
imperative	必要的	/ɪmˈpɛrətɪv/
asset	资产	/ˈæsɛt/
pretext	借口	/ˈpriːtɛkst/
selves	自己	/sɛlvz/
suppliers	供应商	/səˈplaɪərz/
traders	商人	/ˈtreɪdərz/
xiv	xiv	/ˌeks aɪ ˈviː/
lynch	林奇	/lɪntʃ/
malaria	疟疾	/məˈlɛəriə/
interpersonal	人际关系的	/ˌɪntərˈpɜːrsənəl/
monkeys	猴子	/ˈmʌŋkiz/
naval	海军的	/ˈneɪvəl/
niece	侄女	/niːs/
physicists	物理学家	/ˈfɪzɪsɪsts/
populated	人口稠密的	/ˈpɑːpjəˌleɪtɪd/
professionals	专业人士	/prəˈfɛʃənəlz/
sharks	鲨鱼	/ʃɑːrks/
traditions	传统	/trəˈdɪʃənz/
eldest	最年长的	/ˈɛldɪst/
government’s	政府的	/ˈɡʌvərnmənts/
hunted	被猎杀的	/ˈhʌntɪd/
butterflies	蝴蝶	/ˈbʌtərflaɪz/
comparable	可比较的	/ˈkɑːmpərəbəl/
cultivation	耕种	/ˌkʌltɪˈveɪʃən/
demonstrations	示威	/ˌdɛmənˈstreɪʃənz/
visualize	想象	/ˈvɪʒuəˌlaɪz/
violations	违规	/ˌvaɪəˈleɪʃənz/
dragging	拖曳	/ˈdræɡɪŋ/
dusk	黄昏	/dʌsk/
fireplace	壁炉	/ˈfaɪərpleɪs/
floated	漂浮	/floʊtɪd/
involvement	参与	/ɪnˈvɑːlvmənt/
manufacturers	制造商	/ˌmænjəˈfæktʃərərz/
pots	罐子	/pɑːts/
tamed	驯服的	/teɪmd/
adaptation	适应	/ˌædæpˈteɪʃən/
album	专辑	/ˈælbəm/
bets	赌注	/bɛts/
capitalists	资本家	/ˈkæpɪtəlɪsts/
artifacts	文物	/ˈɑːrtɪfækts/
bedrooms	卧室	/ˈbɛdruːmz/
craving	渴望	/ˈkreɪvɪŋ/
invites	邀请	/ɪnˈvaɪts/
measurement	测量	/ˈmɛʒərmənt/
nephew	侄子	/ˈnɛfjuː/
genetics	遗传学	/dʒəˈnɛtɪks/
herbert	赫伯特	/ˈhɜːrbərt/
hierarchical	等级制度的	/ˌhaɪəˈrɑːrkɪkəl/
imported	进口的	/ɪmˈpɔːrtɪd/
quarterly	季度的	/ˈkwɔːrtərli/
rachel	瑞秋	/ˈreɪtʃəl/
racist	种族主义者	/ˈreɪsɪst/
representing	代表	/ˌrɛprɪˈzɛntɪŋ/
rituals	仪式	/ˈrɪtʃuəlz/
siberia	西伯利亚	/saɪˈbɪriə/
journalist	记者	/ˈdʒɜːrnəlɪst/
luther	路德	/ˈluːθər/
tube	管	/tjuːb/
arisen	出现	/əˈraɪzn/
blade	刀片	/bleɪd/
calories	卡路里	/ˈkæləriz/
considerably	相当地	/kənˈsɪdərəbli/
elementary	初级的	/ˌelɪˈmentəri/
emergence	出现	/ɪˈmɜːrdʒəns/
females	女性	/ˈfiːmeɪlz/
herd	兽群	/hɜːrd/
hurrying	匆忙	/ˈhɜːriɪŋ/
homeland	家园	/ˈhoʊmlænd/
twisted	扭曲的	/ˈtwɪstɪd/
videos	视频	/ˈvɪdioʊz/
rick	堆	/rɪk/
saints	圣人	/seɪnts/
startups	初创公司	/ˈstɑːrtʌps/
superficial	肤浅的	/ˌsuːpərˈfɪʃəl/
surviving	幸存	/sərˈvaɪvɪŋ/
nick	刻痕	/nɪk/
nudge	轻推	/nʌdʒ/
orchard	果园	/ˈɔːrtʃərd/
accountability	问责制	/əˌkaʊntəˈbɪləti/
alliance	联盟	/əˈlaɪəns/
archive	档案	/ˈɑːrkaɪv/
composing	组成	/kəmˈpoʊzɪŋ/
constructing	建造	/kənˈstrʌktɪŋ/
balcony	阳台	/ˈbælkəni/
basin	盆地	/ˈbeɪsən/
canvas	帆布	/ˈkænvəs/
collaborative	合作的	/kəˈlæbərətɪv/
comparisons	比较	/kəmˈpærɪzənz/
conditioning	调节	/kənˈdɪʃənɪŋ/
ranked	排名	/ræŋkt/
realizes	实现	/ˈriːəlaɪzɪz/
refuses	拒绝	/rɪˈfjuːzɪz/
shareholders	股东	/ˈʃerˌhoʊldərz/
standardized	标准化的	/ˈstændərdaɪzd/
diagnosis	诊断	/ˌdaɪəɡˈnoʊsɪs/
erupted	爆发	/ɪˈrʌptɪd/
evolving	发展	/ɪˈvɑːlvɪŋ/
fetch	取	/fɛtʃ/
fro	从	/froʊ/
weep	哭泣	/wip/
louder	更响亮	/ˈlaʊdər/
lowered	降低	/ˈloʊərd/
mask	面具	/mæsk/
merits	优点	/ˈmɛrɪts/
mines	矿山	/maɪnz/
moses	摩西	/ˈmoʊzɪz/
nazi	纳粹	/ˈnɑːtsi/
numerical	数值的	/nuːˈmerɪkl/
parameters	参数	/pəˈræmɪtərz/
pessimistic	悲观的	/ˌpesɪˈmɪstɪk/
practiced	熟练的	/ˈpræktɪst/
leslie	莱斯利	/ˈlɛzli/
liberation	解放	/ˌlɪbəˈreɪʃən/
lighted	点亮的	/ˈlaɪtɪd/
mistress	情妇	/ˈmɪstrɪs/
modeling	建模	/ˈmɑːdəlɪŋ/
molecular	分子的	/məˈlɛkjələr/
derek	德里克	/ˈdɛrɪk/
diminishing	减少的	/dɪˈmɪnɪʃɪŋ/
ford	福特	/fɔːrd/
functional	功能的	/ˈfʌŋkʃənl/
grades	成绩	/ɡreɪdz/
administrator	管理员	/ədˈmɪnɪstreɪtər/
assessing	评估	/əˈsɛsɪŋ/
belly	肚子	/ˈbɛli/
bounded	有界的	/ˈbaʊndɪd/
cofounder	联合创始人	/ˌkoʊˈfaʊndər/
commandments	戒律	/kəˈmændmənts/
congratulations	祝贺	/kənˌɡrætʃəˈleɪʃənz/
curved	弯曲的	/kɜːrvd/
purchases	购买	/ˈpɜːrtʃəsɪz/
razor	剃刀	/ˈreɪzər/
respectable	可敬的	/rɪˈspɛktəbl/
riddle	谜语	/ˈrɪdl/
rifles	步枪	/ˈraɪflz/
sentiments	情绪	/ˈsɛntɪmənts/
shorts	短裤	/ʃɔːrts/
skins	皮肤	/skɪnz/
sped	加速	/spɛd/
straw	吸管	/strɔː/
tablets	药片	/ˈtæblɪts/
treatments	治疗	/ˈtriːtmənts/
twins	双胞胎	/twɪnz/
yale	耶鲁	/jeɪl/
unbearable	无法忍受的	/ʌnˈbɛrəbl/
varies	变化	/ˈvɛriːz/
ward	病房	/wɔːrd/
woman’s	女人的	/ˈwʊmənz/
yell	大喊	/jɛl/
buffalo	水牛	/ˈbʌfəloʊ/
cement	水泥	/sɪˈmɛnt/
composure	镇定	/kəmˈpoʊʒər/
deceived	被欺骗的	/dɪˈsivd/
decreed	命令	/dɪˈkriːd/
kicked	踢	/kɪkt/
masked	蒙面	/ˈmæskt/
meditate	冥想	/ˈmedɪteɪt/
patrick	帕特里克	/ˈpætrɪk/
poll	投票	/poʊl/
portfolio	投资组合	/pɔːrˈfoʊlioʊ/
posed	摆姿势	/poʊzd/
farms	农场	/fɑːrmz/
feasible	可行的	/ˈfiːzəbəl/
flooded	泛滥	/ˈflʌdɪd/
grains	谷物	/ɡreɪnz/
individual’s	个人的	/ˌɪndɪˈvɪdʒuəlz/
insisting	坚持	/ɪnˈsɪstɪŋ/
relies	依赖	/rɪˈlaɪz/
streak	条纹	/striːk/
sunlight	阳光	/ˈsʌnlaɪt/
supposing	假设	/səˈpoʊzɪŋ/
trademark	商标	/ˈtreɪdmɑːrk/
prestige	声望	/prɛsˈtiːʒ/
resumed	恢复	/rɪˈzum/
ross	罗斯	/rɔːs/
rounded	圆形的	/ˈraʊndɪd/
roy	罗伊	/rɔɪ/
rumors	谣言	/ˈrumərz/
sores	疮口	/sɔːrz/
spontaneously	自发地	/spɑːnˈteɪniəsli/
structured	结构化的	/ˈstrʌktʃərd/
summoned	召唤	/ˈsʌmənd/
jennifer	詹妮弗	/ˈdʒɛnɪfər/
jerusalem	耶路撒冷	/ˌdʒɛrəˈsələm/
offended	冒犯	/əˈfɛndɪd/
oppenheimer	奥本海默	/ˈɑːpənˌhaɪmər/
outdated	过时的	/ˌaʊtˈdeɪtɪd/
overly	过度地	/ˈoʊvərli/
trembled	颤抖	/ˈtrɛmbəld/
anchored	锚定	/ˈæŋkərd/
ban	禁止	/bæn/
bonus	奖金	/ˈboʊnəs/
businessman	商人	/ˈbɪznɪsmən/
canal	运河	/kəˈnæl/
celebration	庆祝	/ˌsɛlɪˈbreɪʃən/
charismatic	有魅力的	/ˌkærɪzˈmætɪk/
closet	壁橱	/ˈklɑːzɪt/
continuously	不断地	/kənˈtɪnjuəsli/
coping	应对	/ˈkoʊpɪŋ/
corporations	公司	/ˌkɔːrpəˈreɪʃənz/
crashing	崩溃	/ˈkræʃɪŋ/
cues	线索	/kjuz/
deer	鹿	/dɪr/
fan	风扇	/fæn/
heap	堆	/hiːp/
impenetrable	难以理解的	/ɪmˈpɛnɪtrəbəl/
incentives	激励	/ɪnˈsɛntɪvz/
deserts	沙漠	/dɪˈzɜːrts/
disorder	混乱	/dɪsˈɔːrdər/
drawers	抽屉	/drɔːrz/
eighteenth	第十八	/eɪˈtiːnθ/
elegance	优雅	/ˈɛlɪɡəns/
hypotheses	假设	/haɪˈpɑːθəsiːz/
inconceivable	难以想象的	/ˌɪnkənˈsiːvəbəl/
warriors	战士	/ˈwɔːriərz/
regional	地区的	/ˈriːdʒənl/
she’ll	她会	/ʃiːl/
souls	灵魂	/soʊlz/
sow	播种	/soʊ/
tag	标签	/tæɡ/
tigers	老虎	/ˈtaɪɡərz/
keith	基思	/kiːθ/
learnt	学到	/lɜːrnt/
manhattan	曼哈顿	/mænˈhætən/
microphone	麦克风	/ˈmaɪkrəfoʊn/
pasture	牧场	/ˈpæstʃər/
amazement	惊讶	/əˈmeɪzmənt/
analogy	类比	/əˈnælədʒi/
arrest	逮捕	/əˈrɛst/
beginnings	开始	/bɪˈɡɪnɪŋz/
borders	边界	/ˈbɔːrdərz/
celebrities	名人	/səˈlɛbrətiz/
debts	债务	/dɛts/
decree	法令	/dɪˈkriː/
aisle	过道	/aɪl/
artistic	艺术的	/ɑːrˈtɪstɪk/
autonomous	自治的	/ɔːˈtɑːnəməs/
believers	信徒	/bɪˈliːvərz/
cakes	蛋糕	/keɪks/
daughter’s	女儿的	/ˈdɔːtərz/
quantum	量子	/ˈkwɑːntəm/
railroad	铁路	/ˈreɪlroʊd/
sticking	粘	/ˈstɪkɪŋ/
timeless	永恒的	/ˈtaɪmləs/
tomb	坟墓	/tuːm/
eugene	尤金	/juːˈdʒiːn/
formulas	公式	/ˈfɔːrmjələz/
gonna	将要	/ˈɡɔnə/
headline	标题	/ˈhɛdlaɪn/
helicopter	直升机	/ˈhɛlɪˌkɑːptər/
virgin	处女	/ˈvɜːrdʒɪn/
wouldbe	将要成为	/ˈwʊdbiː/
jewish	犹太人	/ˈdʒuːɪʃ/
legitimate	合法的	/ləˈdʒɪtəmət/
melted	融化的	/ˈmɛltɪd/
nails	指甲	/neɪlz/
nurtured	培养	/ˈnɜːrtʃərd/
oak	橡树	/oʊk/
